iter	Logloss
0	0.6652178623
1	0.6398712309
2	0.6167601812
3	0.5970064627
4	0.5788060759
5	0.5619853392
6	0.5473823149
7	0.5339388605
8	0.5222428189
9	0.5116226221
10	0.5020936572
11	0.4934842895
12	0.4853497771
13	0.4780326507
14	0.4713068988
15	0.4655994908
16	0.4594794804
17	0.454500504
18	0.4501374922
19	0.4459708464
20	0.4426163204
21	0.4393231967
22	0.436157275
23	0.4336021256
24	0.4311138793
25	0.4286164737
26	0.4265471924
27	0.4243893817
28	0.4226226903
29	0.4211725509
30	0.4199077612
31	0.4185730919
32	0.4172257092
33	0.4162870564
34	0.4152473329
35	0.4139801129
36	0.4129532427
37	0.4120726408
38	0.4112106829
39	0.4105197667
40	0.4098365046
41	0.4093600787
42	0.4086828424
43	0.4080727064
44	0.4076083358
45	0.4069845969
46	0.4065612979
47	0.405977852
48	0.4055059939
49	0.4050984642
50	0.4047021038
51	0.4042368751
52	0.4039413132
53	0.4035915975
54	0.4032440933
55	0.4029953482
56	0.4026890048
57	0.4025212778
58	0.402301673
59	0.4021490896
60	0.4019809269
61	0.4016774859
62	0.4015026609
63	0.4012884228
64	0.4010912777
65	0.4008073364
66	0.4006601404
67	0.4004390549
68	0.4002947712
69	0.4001475828
70	0.4000202229
71	0.3999005114
72	0.3997447055
73	0.3995593774
74	0.3994723811
75	0.3993400017
76	0.3991887505
77	0.3990255332
78	0.3989130386
79	0.3987637466
80	0.3986647287
81	0.398475296
82	0.3983686254
83	0.3982013718
84	0.398142888
85	0.3980061662
86	0.3978881752
87	0.397711148
88	0.3976166991
89	0.3975032535
90	0.3973996784
91	0.3972589596
92	0.3971169323
93	0.3970281531
94	0.3969277849
95	0.3968126053
96	0.396682747
97	0.3965583407
98	0.396439638
99	0.3963909135
100	0.3963062459
101	0.3962054847
102	0.3961214802
103	0.3960611357
104	0.3960357962
105	0.3959349287
106	0.3958974693
107	0.3957926213
108	0.3957037748
109	0.3956299411
110	0.3955119225
111	0.3954388063
112	0.3953363637
113	0.3952286486
114	0.3951428627
115	0.3950901309
116	0.3950157668
117	0.3949598534
118	0.3948929448
119	0.3948103
120	0.3947523495
121	0.3946262712
122	0.3945855244
123	0.3945128123
124	0.3944182905
125	0.3943614755
126	0.3943156362
127	0.3942268331
128	0.3941421319
129	0.3940963283
130	0.3940085756
131	0.3939448373
132	0.3938973611
133	0.3938053786
134	0.3937412505
135	0.393657503
136	0.3935844226
137	0.393527879
138	0.3934429187
139	0.3933801869
140	0.3933080954
141	0.3932012612
142	0.3931141505
143	0.3930529544
144	0.3930019056
145	0.3929462612
146	0.392877438
147	0.3928404646
148	0.3927767342
149	0.3926886446
150	0.3926219297
151	0.3925365807
152	0.3924367039
153	0.392378805
154	0.3922731111
155	0.3921940459
156	0.3921490456
157	0.3921136408
158	0.3920235672
159	0.391966974
160	0.3918943754
161	0.3918511244
162	0.3917445289
163	0.3916891039
164	0.3916176182
165	0.3915324493
166	0.3914786708
167	0.3914322973
168	0.3913895236
169	0.3913344916
170	0.3912716935
171	0.3912382988
172	0.3911936192
173	0.3911457501
174	0.3910982578
175	0.3910263251
176	0.3909771501
177	0.3909198241
178	0.3908598894
179	0.390803496
180	0.3907407396
181	0.3906775763
182	0.3905952999
183	0.390550829
184	0.3904655184
185	0.3904225582
186	0.3903790625
187	0.3903405073
188	0.3903065333
189	0.390230531
190	0.3901458622
191	0.3901114906
192	0.3900551593
193	0.3900222921
194	0.3899678025
195	0.3899106443
196	0.3898288787
197	0.3897743016
198	0.3897223666
199	0.389689006
200	0.3896369035
201	0.3895754815
202	0.3895005053
203	0.389450261
204	0.3893997149
205	0.3893358414
206	0.3892739033
207	0.3892429277
208	0.3892091412
209	0.3891665326
210	0.389111691
211	0.3890609169
212	0.3890203337
213	0.3889573285
214	0.3889080664
215	0.3888621608
216	0.3887919513
217	0.388723589
218	0.3886677207
219	0.3886191573
220	0.3885409225
221	0.3884824842
222	0.388411845
223	0.3883654174
224	0.3883339627
225	0.3882720155
226	0.3882066271
227	0.3881265017
228	0.3880585465
229	0.3879877323
230	0.3879385781
231	0.3878557644
232	0.3877899464
233	0.3877153576
234	0.3876467673
235	0.3875983645
236	0.3875128513
237	0.3874849429
238	0.3874308129
239	0.3873580978
240	0.3873038968
241	0.387245431
242	0.3871855321
243	0.3871378274
244	0.3870719751
245	0.3870182361
246	0.3869596815
247	0.3869304315
248	0.3868838846
249	0.3868397414
250	0.3868145605
251	0.3867688625
252	0.3867217047
253	0.3866685038
254	0.3866446721
255	0.3865831957
256	0.3865114872
257	0.3864316329
258	0.3863844822
259	0.3863074342
260	0.3862489499
261	0.3861959638
262	0.3861226277
263	0.3860535085
264	0.3859873871
265	0.3859337538
266	0.3858735598
267	0.3858279694
268	0.3857684695
269	0.3857109462
270	0.3856564201
271	0.3855946262
272	0.3855600379
273	0.385529418
274	0.3854621833
275	0.3854009297
276	0.3853308491
277	0.3852815115
278	0.3852117843
279	0.385133425
280	0.3850647276
281	0.3850197936
282	0.384989362
