iter	Passed	Remaining
404	4874	7161
405	4882	7143
406	4898	7137
407	4913	7128
408	4928	7121
409	4937	7105
410	4945	7087
411	4953	7069
412	4961	7051
413	4969	7033
414	4977	7015
415	4985	6998
416	4993	6981
417	5002	6964
418	5010	6947
419	5018	6930
420	5026	6912
421	5034	6895
422	5046	6883
423	5063	6878
424	5079	6872
425	5094	6864
426	5108	6855
427	5124	6849
428	5135	6835
429	5143	6817
430	5151	6801
431	5160	6784
432	5168	6768
433	5176	6751
434	5184	6734
435	5192	6717
436	5200	6699
437	5208	6682
438	5215	6665
439	5224	6649
440	5233	6633
441	5240	6616
442	5248	6598
443	5257	6583
444	5265	6566
445	5272	6549
446	5280	6533
447	5290	6518
448	5300	6504
449	5308	6487
450	5315	6470
451	5325	6456
452	5333	6439
453	5340	6423
454	5348	6406
455	5355	6389
456	5363	6372
457	5370	6355
458	5384	6346
459	5396	6334
460	5403	6317
461	5411	6301
462	5419	6285
463	5428	6270
464	5435	6254
465	5446	6241
466	5468	6241
467	5482	6232
468	5494	6220
469	5501	6203
470	5508	6187
471	5517	6171
472	5524	6155
473	5533	6140
474	5540	6123
475	5548	6108
476	5556	6092
477	5564	6077
478	5573	6062
479	5589	6055
480	5603	6046
481	5612	6031
482	5620	6016
483	5628	6000
484	5636	5984
485	5644	5969
486	5652	5954
487	5660	5938
488	5667	5922
489	5674	5906
490	5681	5890
491	5689	5874
492	5697	5859
493	5705	5844
494	5713	5828
495	5721	5813
496	5728	5798
497	5736	5782
498	5743	5766
499	5750	5750
500	5757	5734
501	5764	5718
502	5771	5702
503	5778	5686
504	5786	5671
505	5793	5656
506	5801	5641
507	5808	5625
508	5816	5610
509	5827	5599
510	5841	5589
511	5854	5580
512	5863	5565
513	5870	5550
514	5876	5534
515	5883	5518
516	5890	5503
517	5897	5487
518	5904	5471
519	5910	5455
520	5920	5443
521	5934	5434
522	5946	5423
523	5954	5409
524	5962	5394
525	5970	5380
526	5979	5366
527	5987	5352
528	6001	5343
529	6015	5334
530	6030	5326
531	6044	5317
532	6057	5307
533	6068	5295
534	6077	5282
535	6090	5272
536	6097	5257
537	6104	5241
538	6110	5226
539	6117	5211
540	6124	5196
541	6134	5183
542	6142	5169
543	6150	5155
544	6157	5140
545	6165	5126
546	6173	5112
547	6181	5098
548	6189	5084
549	6197	5070
550	6205	5056
551	6212	5042
552	6219	5027
553	6226	5012
554	6233	4997
555	6240	4983
556	6249	4970
557	6262	4960
558	6276	4951
559	6292	4944
560	6301	4930
561	6308	4916
562	6315	4902
563	6323	4888
564	6330	4874
565	6337	4859
566	6346	4846
567	6353	4832
568	6361	4818
569	6369	4804
570	6377	4791
571	6384	4777
572	6391	4763
573	6399	4749
574	6407	4736
575	6415	4722
576	6423	4709
577	6431	4695
578	6439	4681
579	6447	4669
580	6455	4655
581	6462	4641
582	6470	4627
583	6477	4614
584	6485	4600
585	6492	4586
586	6500	4573
587	6508	4560
588	6520	4550
589	6534	4540
590	6549	4532
591	6567	4526
592	6583	4518
593	6599	4510
594	6616	4503
595	6627	4492
596	6637	4480
597	6647	4468
598	6656	4455
599	6663	4442
600	6671	4429
601	6679	4415
602	6687	4402
603	6695	4389
604	6702	4376
605	6710	4362
606	6718	4350
607	6726	4336
608	6734	4324
609	6742	4311
610	6750	4297
611	6758	4285
612	6767	4272
613	6775	4259
614	6782	4246
615	6791	4233
616	6799	4220
617	6808	4208
618	6815	4195
619	6824	4182
620	6832	4169
621	6840	4157
622	6848	4144
623	6856	4131
624	6864	4118
625	6871	4105
626	6879	4092
627	6888	4080
628	6896	4067
629	6905	4055
630	6913	4042
631	6921	4030
632	6928	4017
633	6935	4003
634	6942	3990
635	6948	3976
636	6955	3963
637	6966	3952
638	6974	3940
639	6981	3927
640	6989	3914
641	6996	3901
642	7004	3888
643	7011	3875
644	7020	3864
645	7028	3851
646	7035	3838
647	7043	3826
648	7050	3813
649	7058	3800
650	7065	3787
651	7073	3775
652	7080	3762
653	7088	3750
654	7095	3737
655	7103	3725
656	7111	3712
657	7119	3700
658	7127	3688
659	7135	3675
660	7143	3663
661	7151	3651
662	7159	3639
663	7167	3626
664	7174	3614
665	7182	3601
666	7190	3589
667	7197	3577
668	7206	3565
669	7214	3553
670	7221	3540
671	7229	3528
672	7237	3516
673	7245	3504
674	7252	3492
675	7260	3479
676	7269	3468
677	7279	3457
678	7286	3444
679	7295	3433
680	7303	3421
681	7310	3408
682	7318	3396
683	7327	3385
684	7335	3373
685	7343	3361
686	7351	3349
687	7365	3339
688	7378	3330
689	7386	3318
690	7394	3306
691	7403	3295
692	7411	3283
693	7419	3271
694	7427	3259
695	7437	3248
696	7448	3237
697	7456	3226
698	7463	3213
699	7471	3202
700	7478	3189
701	7485	3177
702	7491	3165
703	7498	3152
704	7505	3140
705	7513	3128
706	7520	3116
707	7527	3104
708	7535	3092
709	7542	3080
710	7550	3068
711	7557	3057
712	7565	3045
713	7573	3033
714	7581	3021
715	7589	3010
716	7598	2999
717	7607	2987
718	7615	2976
719	7622	2964
720	7630	2952
721	7636	2940
722	7644	2928
723	7651	2916
724	7658	2905
725	7669	2894
726	7683	2885
727	7696	2875
728	7708	2865
729	7722	2856
730	7736	2846
731	7743	2835
732	7751	2823
733	7759	2811
734	7767	2800
735	7779	2790
736	7794	2781
737	7807	2771
738	7814	2760
739	7822	2748
740	7831	2737
741	7839	2725
742	7857	2717
743	7871	2708
744	7886	2699
745	7900	2689
746	7914	2680
747	7921	2668
748	7928	2657
749	7936	2645
750	7944	2634
751	7952	2622
752	7959	2611
753	7967	2599
754	7982	2590
755	7993	2579
756	8001	2568
757	8015	2559
758	8029	2549
759	8037	2538
760	8044	2526
761	8052	2515
762	8064	2505
763	8077	2495
764	8084	2483
765	8092	2471
766	8103	2461
767	8113	2450
768	8120	2439
769	8128	2427
770	8135	2416
771	8143	2405
772	8151	2393
773	8159	2382
774	8166	2371
775	8174	2359
776	8182	2348
777	8190	2337
778	8197	2325
779	8205	2314
780	8212	2302
781	8221	2291
782	8229	2280
783	8237	2269
784	8245	2258
785	8253	2247
786	8260	2235
787	8268	2224
788	8276	2213
789	8285	2202
790	8294	2191
791	8305	2181
792	8314	2170
793	8322	2159
794	8330	2147
795	8337	2136
796	8345	2125
797	8353	2114
798	8360	2103
799	8370	2092
800	8381	2082
801	8391	2071
802	8398	2060
803	8406	2049
804	8414	2038
805	8421	2026
806	8429	2015
807	8436	2004
808	8444	1993
809	8451	1982
810	8459	1971
811	8467	1960
812	8475	1949
813	8483	1938
814	8491	1927
815	8498	1916
816	8506	1905
817	8514	1894
818	8522	1883
819	8529	1872
820	8537	1861
821	8545	1850
822	8553	1839
823	8561	1828
824	8569	1817
825	8577	1806
826	8585	1795
827	8592	1784
828	8600	1773
829	8607	1763
830	8616	1752
831	8624	1741
832	8632	1730
833	8640	1719
834	8647	1708
835	8655	1698
836	8663	1687
837	8669	1676
838	8675	1664
839	8682	1653
840	8688	1642
841	8695	1631
842	8702	1620
843	8714	1610
844	8721	1599
845	8728	1588
846	8736	1578
847	8744	1567
848	8752	1556
849	8759	1545
850	8766	1534
851	8773	1524
852	8780	1513
853	8787	1502
854	8794	1491
855	8801	1480
856	8808	1469
857	8815	1458
858	8827	1449
859	8834	1438
860	8842	1427
861	8850	1416
862	8858	1406
863	8866	1395
864	8873	1384
865	8882	1374
866	8895	1364
867	8907	1354
868	8915	1343
869	8923	1333
870	8931	1322
871	8939	1312
872	8947	1301
873	8955	1291
874	8964	1280
875	8972	1270
876	8979	1259
877	8987	1248
878	8995	1238
879	9003	1227
880	9011	1217
881	9019	1206
882	9031	1196
883	9046	1187
884	9060	1177
885	9069	1167
886	9076	1156
887	9084	1145
888	9092	1135
889	9100	1124
890	9108	1114
891	9116	1103
892	9123	1093
893	9131	1082
894	9139	1072
895	9146	1061
896	9154	1051
897	9161	1040
898	9169	1030
899	9177	1019
900	9193	1010
901	9206	1000
902	9215	989
903	9223	979
904	9230	968
905	9237	958
906	9245	947
907	9253	937
908	9263	927
909	9270	916
910	9279	906
911	9287	896
912	9296	885
913	9304	875
914	9312	865
915	9321	854
916	9328	844
917	9336	833
918	9344	823
919	9352	813
920	9359	802
921	9368	792
922	9377	782
923	9384	771
924	9400	762
925	9415	752
926	9430	742
927	9445	732
928	9459	722
929	9467	712
930	9474	702
931	9482	691
932	9490	681
933	9498	671
934	9511	661
935	9519	650
936	9526	640
937	9534	630
938	9541	619
939	9549	609
940	9557	599
941	9565	588
942	9580	579
943	9595	569
944	9610	559
945	9629	549
946	9639	539
947	9647	529
948	9654	518
949	9662	508
950	9669	498
951	9677	487
952	9684	477
953	9704	467
954	9714	457
955	9723	447
956	9731	437
957	9738	426
958	9746	416
959	9753	406
960	9761	396
961	9768	385
962	9776	375
963	9783	365
964	9789	355
965	9796	344
966	9803	334
967	9810	324
968	9816	314
969	9824	303
970	9831	293
971	9837	283
972	9844	273
973	9851	262
974	9857	252
975	9864	242
976	9870	232
977	9877	222
978	9883	212
979	9889	201
980	9896	191
981	9902	181
982	9908	171
983	9915	161
984	9921	151
985	9927	140
986	9933	130
987	9939	120
988	9948	110
989	9955	100
990	9962	90
991	9968	80
992	9973	70
993	9979	60
994	9984	50
995	9989	40
996	9995	30
997	10000	20
998	10006	10
999	10011	0
	23320	1755
930	23330	1729
931	23343	1703
932	23358	1677
933	23367	1651
934	23382	1625
935	23397	1599
936	23434	1575
937	23477	1551
938	23545	1529
939	23591	1505
940	23604	1480
941	23613	1453
942	23632	1428
943	23651	1403
944	23669	1377
945	23680	1351
946	23702	1326
947	23711	1300
948	23732	1275
949	23746	1249
950	23766	1224
951	23803	1200
952	23814	1174
953	23833	1149
954	23853	1124
955	23868	1098
956	23887	1073
957	23904	1048
958	23917	1022
959	23938	997
960	23963	972
961	23983	947
962	24000	922
963	24013	896
964	24024	871
965	24041	846
966	24058	821
967	24074	795
968	24089	770
969	24106	745
970	24121	720
971	24135	695
972	24152	670
973	24169	645
974	24182	620
975	24196	594
976	24211	569
977	24227	544
978	24246	520
979	24264	495
980	24280	470
981	24293	445
982	24307	420
983	24323	395
984	24337	370
985	24354	345
986	24369	320
987	24385	296
988	24400	271
989	24417	246
990	24435	221
991	24449	197
992	24463	172
993	24490	147
994	24508	123
995	24530	98
996	24555	73
997	24578	49
998	24601	24
999	24624	0
